stratum,method,target_name,feature_name,all_record_n,independent_conditions,estimable_n,structurally_undefined_n,primary_failure_due_to_nonestimability_n,availability_proportion,availability_cluster_bootstrap_ci_low,availability_cluster_bootstrap_ci_high,conditional_normalized_mae,conditional_normalized_mae_cluster_bootstrap_ci_low,conditional_normalized_mae_cluster_bootstrap_ci_high,conditional_normalized_median_absolute_error,conditional_normalized_rmse,conditional_calibration_slope,conditional_calibration_intercept,conditional_pearson_correlation,standardized_absolute_bias,standardized_rmse,all_record_pass_proportion_half_tolerance,all_record_pass_proportion_primary_tolerance,all_record_pass_proportion_double_tolerance,bias_gate_pass,rmse_gate_pass,all_record_95_percent_gate_pass,extraction_failure_rate,extraction_failure_gate_pass,numerical_development_gates_pass,physical_response_gate_status,calibration_ci_gate_status,development_qualification_status,final_qualification_status
impulsive_transient,vmd,absolute_amplitude_pu,high_band_energy_fraction,3400,34,3400,0,0,1.0,1.0,1.0,0.280741714590841,0.21555168402125047,0.3467103865573933,0.2184329239321589,0.3440120515251444,0.2192090495605749,0.30847765362331053,0.35195694566931834,2.8726391300106795,9.411672832619034,0.003823529411764706,0.046764705882352944,0.08823529411764706,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
impulsive_transient,wavelet,absolute_amplitude_pu,high_band_energy_fraction,3400,34,3400,0,0,1.0,1.0,1.0,0.22726219870907846,0.16410141974874276,0.29435396633422367,0.1818407241473068,0.29956550826909867,0.24202230634153268,0.45030938666440445,0.3219716898691351,3.0014647851747682,11.522503749360515,0.06411764705882353,0.20088235294117648,0.23823529411764705,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
interruption,s_transform,residual_voltage_pu,fundamental_deviation_peak,2000,20,2000,0,0,1.0,1.0,1.0,0.2679287732416084,0.20820047957698198,0.32931343550107683,0.2562940553270072,0.3005125828950137,0.027222990822518202,0.05032916539196058,0.07931270396309807,0.4051788418385567,3.005125828950137,0.0,0.1625,0.35,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
interruption,stft,residual_voltage_pu,fundamental_deviation_peak,2000,20,2000,0,0,1.0,1.0,1.0,0.07082720164092154,0.03426347316008838,0.12520275298750713,0.038181319578003414,0.13343880378388395,0.9443010226738126,0.0009898354410777714,0.9008297911023645,0.16599008771622367,1.3343880378388395,0.5905,0.8195,0.948,True,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
interruption,vmd,residual_voltage_pu,fundamental_deviation_peak,2000,20,2000,0,0,1.0,1.0,1.0,0.2997827807108429,0.23122715314869574,0.37599948804091965,0.28246217250128325,0.38168182699347114,-0.011389863558713154,0.05710662520562082,-0.014379778020050284,0.8992340491250331,3.8168182699347115,0.037,0.103,0.3595,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
interruption,wavelet,residual_voltage_pu,fundamental_deviation_peak,2000,20,2000,0,0,1.0,1.0,1.0,0.2656225282633083,0.20869795962535725,0.32662654868407437,0.2546503648563694,0.2981448007835581,0.011238524067860358,0.050580947255355724,0.041460896688782764,0.35431501785626845,2.981448007835581,0.0,0.2,0.35,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
notching,s_transform,depth_pu,high_band_energy_fraction,2100,21,2100,0,0,1.0,1.0,1.0,0.18538137342598587,0.12822799153529774,0.24593878096999627,0.15612157724123985,0.22909149583556837,0.9494196168985265,0.06077728164769556,0.8365413990740704,3.3885519929968915,6.128920491423428,0.048095238095238094,0.19047619047619047,0.3333333333333333,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
notching,stft,depth_pu,high_band_energy_fraction,2100,21,2100,0,0,1.0,1.0,1.0,0.15999935990035394,0.11144250079196076,0.22029966450441274,0.14619195859617268,0.2040921082763233,0.681222801996565,0.11590443153177502,0.7867940640197566,2.254619426228547,5.484689989974678,0.12,0.18666666666666668,0.2857142857142857,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
notching,vmd,depth_pu,high_band_energy_fraction,2100,21,2100,0,0,1.0,1.0,1.0,0.19373396652824673,0.12648416111261532,0.2652926351308541,0.17318857888382444,0.2548034763648465,0.42101331646708823,0.14777559066337984,0.6409408772045053,0.29207645683690014,6.0614857767864745,0.14238095238095239,0.19095238095238096,0.23809523809523808,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
notching,wavelet,depth_pu,high_band_energy_fraction,2100,21,2100,0,0,1.0,1.0,1.0,0.17494042582684458,0.12387188971702134,0.2262372569717972,0.14905232761992712,0.21570114445662963,0.5685301179404452,0.1485342500111335,0.7492441114890044,2.4978125858501548,6.533886204953441,0.04285714285714286,0.19,0.3295238095238095,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
oscillatory_transient,s_transform,frequency_hz,high_band_peak_frequency_hz,2700,27,2700,0,0,1.0,1.0,1.0,0.18811803479863579,0.14075722943296415,0.24196514350382958,0.16658970158120914,0.2319882058951428,0.3611179548050031,1183.4572490732326,0.7954174848694555,8.704787059268288,20.778350532224984,0.07407407407407407,0.1111111111111111,0.1111111111111111,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
oscillatory_transient,stft,frequency_hz,high_band_peak_frequency_hz,2700,27,2700,0,0,1.0,1.0,1.0,0.28674278117490065,0.22708722518028726,0.3465874491346274,0.2990971716521682,0.3272513693919535,-3.156012316468963e-15,1649.5884773662654,-9.320315104398053e-16,7.747547763679815,26.889151133893193,0.037037037037037035,0.07407407407407407,0.07407407407407407,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
oscillatory_transient,vmd,frequency_hz,high_band_peak_frequency_hz,2700,27,1964,736,736,0.7274074074074074,0.5551851851851852,0.8859259259259259,0.08932424606510857,0.06813783720520787,0.1128599339758,0.07942976143348342,0.10277931013248999,0.7137379100148039,587.7441958007289,0.9978277326537471,4.845815604713146,10.037730000926615,0.0,0.05851851851851852,0.07407407407407407,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
oscillatory_transient,wavelet,frequency_hz,high_band_peak_frequency_hz,2700,27,2700,0,0,1.0,1.0,1.0,0.28352962316660685,0.22379235633574882,0.3389620488029467,0.28955416432378084,0.32413740334814806,0.010910569067919986,1633.6238784043928,0.20106257463917857,7.720375274480256,26.65478981190806,0.037037037037037035,0.037037037037037035,0.07407407407407407,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
sag,s_transform,residual_voltage_pu,fundamental_deviation_peak,1900,19,1900,0,0,1.0,1.0,1.0,0.11592294970161998,0.07166490659083345,0.18152956327085953,0.0807630649078888,0.17382140552510963,0.6986925853325163,0.1557651453471431,0.8029278928225235,2.052071578727474,6.627947218599605,0.010526315789473684,0.26210526315789473,0.35578947368421054,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
sag,stft,residual_voltage_pu,fundamental_deviation_peak,1900,19,1900,0,0,1.0,1.0,1.0,0.16232006429539214,0.11067304199791429,0.22777778931284204,0.09798322337745781,0.21331439333508204,0.4619834814336609,0.25356538728732325,0.6773958069344238,1.714956372091238,5.676033580235312,0.0,0.0,0.028421052631578948,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
sag,vmd,residual_voltage_pu,fundamental_deviation_peak,1900,19,1900,0,0,1.0,1.0,1.0,0.2521231378675776,0.18733925517577402,0.31473468424244555,0.2443626989968673,0.28935542788884466,3.110600424452834e-06,0.49364392590838363,0.24575243698867175,5.619929434876653,15.067015121064022,0.05263157894736842,0.05263157894736842,0.10526315789473684,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
sag,wavelet,residual_voltage_pu,fundamental_deviation_peak,1900,19,1900,0,0,1.0,1.0,1.0,0.11187683722378444,0.06743064872620014,0.15845521517961053,0.09051119129575202,0.15430188161237235,0.7046314533339946,0.12655998011208794,0.8500943791842364,0.12613474360928428,4.302441426463723,0.1957894736842105,0.32052631578947366,0.3663157894736842,True,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
swell,s_transform,event_voltage_pu,fundamental_deviation_peak,1800,18,1800,0,0,1.0,1.0,1.0,0.1543551483217092,0.08915403553645515,0.2309757261086224,0.10967980616685787,0.22421518268360482,0.37485515125056423,0.8987295253538622,0.5660905743433533,0.718514991587299,2.5870290134307514,0.2777777777777778,0.46944444444444444,0.7222222222222222,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
swell,stft,event_voltage_pu,fundamental_deviation_peak,1800,18,1800,0,0,1.0,1.0,1.0,0.20321797393972102,0.13611123384861434,0.2826094925213726,0.1330613785542491,0.25737961689811945,0.2435259487346819,1.057457565294376,0.3696333120082812,0.4456946779272216,3.061489361637428,0.012777777777777779,0.18222222222222223,0.7777777777777778,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
swell,vmd,event_voltage_pu,fundamental_deviation_peak,1800,18,1800,0,0,1.0,1.0,1.0,0.22841335105921454,0.16412362821521112,0.2981147405964916,0.18335920333389,0.27459171510168956,0.003635999404169611,1.4334895608012854,0.06137201954806412,1.148939614617562,3.0351006452022626,0.1111111111111111,0.2222222222222222,0.5555555555555556,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
swell,wavelet,event_voltage_pu,fundamental_deviation_peak,1800,18,1800,0,0,1.0,1.0,1.0,0.17635913852068585,0.12587530281971637,0.22802278198043616,0.16984492159041792,0.20835561114170534,0.5046251945767415,0.6854591507399301,0.6348738466109931,0.20147635776029338,2.3832122950488666,0.06333333333333334,0.28944444444444445,0.7127777777777777,True,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
